Variable / Field Name,Form Name,Section Header,Field Type,Field Label,select_choices_or_calculations,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
f2a_participant_id,profile_summary,,text,Participant ID (format: 258-#####) (Country Code - Woman ID),,,,,,,,y,RH,,,,
f2a_cohort,profile_summary,Profile,dropdown,Cohort,"1, 1 - Non-pregnant women of reproductive age (WRA) | 2, 2 - Unselected pregnant women (UNS)",,,,,,,y,RH,,,,
f2a_full_name,profile_summary,,text,Full Name,,,,,,y,,y,RH,,,,
f2a_national_id,profile_summary,,text,National ID,,,,,,y,,y,RH,,,,
f2a_reminder,profile_summary,,descriptive,"<span style=""color:blue""><span style=""font-size:1.1em"">Please confirm the contact information is up-to-date.</span>",,,,,,,,,RH,,,,
f2a_phone,profile_summary,,dropdown,Is there a mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone] > '0',y,RH,,,,
f2a_phone_2,profile_summary,,dropdown,Is there another mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number_2,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone_2] > '0',y,RH,,,,
f2a_sum_ga_today,profile_summary,Summary,calc,"<span style=""color:red""><span style=""background:gold"">Gestational age at today","round((datediff([precise_visit_1_arm_1][f2_visit_date],""today"",""d"",""ymd"",true) + round(if([precise_visit_1_arm_1][f6a_ga_enrol]>0, [precise_visit_1_arm_1][f6a_ga_enrol], [precise_visit_1_arm_1][f6a_ga_consent])*7,0))/7,2)",weeks,,,,,,,RH,,,,
f2a_sum_ga_today_week,profile_summary,,calc,"<span style=""color:red""><span style=""background:gold"">Gestational age at today - weeks","rounddown((datediff([precise_visit_1_arm_1][f2_visit_date],""today"",""d"",""ymd"",true) + round(if([precise_visit_1_arm_1][f6a_ga_enrol]>0, [precise_visit_1_arm_1][f6a_ga_enrol], [precise_visit_1_arm_1][f6a_ga_consent])*7,0))/7,0)",weeks,,,,,,,RH,,,, @HIDDEN
f2a_sum_ga_today_day,profile_summary,,calc,"<span style='margin-left:10em'><span style=""color:red""><span style=""background:gold"">+ day(s)","round(([f2a_sum_ga_today] - [f2a_sum_ga_today_week])*7, 0)",day(s),,,,,,,RH,,,, @HIDDEN
f2a_sum_weeks_visit1_to_today,profile_summary,,calc,"<span style=""color:red""><span style=""background:gold"">Number of weeks between PRECISE Visit 1 and Today</span>","round(datediff([precise_visit_1_arm_1][f2_visit_date],""today"",""d"",""ymd"",true)/7,2)",weeks,,,,,,,RH,,,,
f2a_sum_desc_start_visit2,profile_summary,,descriptive,"<span style=""color:red"">PRECISE Visit 2 is not done yet.  Please start with PRECISE Visit 2 today if she has not given birth yet.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [profile_summary_arm_1][f2a_cohort] < '4' and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,RH,,,,
f2a_sum_desc_start_visit2_2,profile_summary,,descriptive,"<span style=""color:blue"">PRECISE Visit 2 is not done yet, but it appears she has given birth.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [profile_summary_arm_1][f2a_cohort] < '4' and [f2a_sum_ga_birth_visit] >0 and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,,,,,
f2a_sum_desc_start_anc,profile_summary,,descriptive,"<span style=""color:red"">There is no delivery information.  Please start with ""non-PRECISE ANC Visit"" if she has routine antenatal care, OR ""Birth Visit"" if she is about to give birth.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [f2a_sum_weeks_visit1_to_today]>=0.1 and [f2a_sum_ga_birth_visit] ='' and (([f2a_sum_ga_prc_visit2] = '' and ([f2a_sum_ga_today] <28 or [f2a_sum_weeks_visit1_to_today] <4)) or [f2a_sum_ga_prc_visit2]>0),,RH,,,,
f2a_sum_desc_start_anc_2,profile_summary,,descriptive,"<span style=""color:red"">Warning: The PRECISE Visit 2 should occur on or after 4 weeks (or 28 days) + [precise_visit_1_arm_1][f2_visit_date] <b>AND</b> reach at least 28 weeks of gestation. <br/>
It is [f2a_sum_weeks_visit1_to_today] weeks away from PRECISE Visit 1 and today's gestational age is [f2a_sum_ga_today_week] weeks + [f2a_sum_ga_today_day] day(s).  If you want to complete PRECISE Visit 2 today, please ensure it is justified.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and ([f2a_sum_ga_today] <28 or ([f2a_sum_weeks_visit1_to_today]>=0.1 and [f2a_sum_weeks_visit1_to_today] <4)),,,,,,
f2a_sum_desc_start_postpartum,profile_summary,,descriptive,"<span style=""color:red"">The participant has given birth.  Please check and ensure both mother and baby information have been collected.</span>",,,,,,,[f2a_sum_ga_birth_visit] >0,,RH,,,,
f2a_sum_visit1_date,profile_summary,,descriptive,"<b>Date of PRECISE Visit 1: <span style=""color:blue""><span style=""padding-left:30%""> [precise_visit_1_arm_1][f2_visit_date] </span></b>
",,,,,,,,,RH,,,,
f2a_sum_ga_prc_visit1,profile_summary,,calc,Gestational age at PRECISE Visit 1,"if([precise_visit_1_arm_1][f6a_ga_enrol]>0, [precise_visit_1_arm_1][f6a_ga_enrol], [precise_visit_1_arm_1][f6a_ga_consent])",weeks,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,,
f2a_sum_ga_prc_visit1_week,profile_summary,,calc,Gestational age at PRECISE Visit 1 - weeks,"rounddown(if([precise_visit_1_arm_1][f6a_ga_enrol]>0, [precise_visit_1_arm_1][f6a_ga_enrol], [precise_visit_1_arm_1][f6a_ga_consent]), 0)",weeks,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,, @HIDDEN
f2a_sum_ga_prc_visit1_day,profile_summary,,calc,<span style='margin-left:10em'>+ day(s),"round(([f2a_sum_ga_prc_visit1] - [f2a_sum_ga_prc_visit1_week])*7, 0)",day(s),,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,, @HIDDEN
f2a_sum_min_visit2_date,profile_summary,,descriptive,Minimum PRECISE Visit 2 Date: <span style=color:blue> 28 days after this date [precise_visit_1_arm_1][f2_visit_date]  <span style=color:red>AND</span> at least 28 weeks of gestation</span>,,,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,,
f2a_sum_visit2_date,profile_summary,,descriptive,"<b>Date of PRECISE Visit 2: <span style=""color:blue""><span style=""padding-left:30%"">[precise_visit_2_arm_1][f2_visit_date] </span></b>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,,
f2a_sum_ga_prc_visit2,profile_summary,,calc,Gestational age at PRECISE Visit 2,"round((datediff([precise_visit_1_arm_1][f2_visit_date],[precise_visit_2_arm_1][f2_visit_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,2)",weeks  (should be on or after 28 weeks),,,,,[profile_summary_arm_1][f2a_cohort] >1,,RH,,,,
f2a_sum_ga_prc_visit2_week,profile_summary,,calc,Gestational age at PRECISE Visit 2 - weeks,"rounddown((datediff([precise_visit_1_arm_1][f2_visit_date],[precise_visit_2_arm_1][f2_visit_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,0)",,,,,,[profile_summary_arm_1][f2a_cohort] >1,,RH,,,, @HIDDEN
f2a_sum_ga_prc_visit2_day,profile_summary,,calc,<span style='margin-left:10em'>+ day(s),"round(([f2a_sum_ga_prc_visit2] - [f2a_sum_ga_prc_visit2_week])*7, 0)",,,,,,[profile_summary_arm_1][f2a_cohort] >1,,RH,,,, @HIDDEN
f2a_sum_wks_prcv1_to_prcv2,profile_summary,,calc,Number of weeks from PRECISE Visit 1 to Visit 2,"round(datediff([precise_visit_1_arm_1][f2_visit_date],[precise_visit_2_arm_1][f2_visit_date],""d"",""ymd"",true)/7,2)",weeks (should be at least 4 weeks apart),,,,,,,RH,,,,
f2a_sum_nonprecise_visit_num,profile_summary,,calc,Number of non-PRECISE ANC Visits:,"if([nonprecise_anc_1_arm_1][f6a3_visit_date] <> """",'1','0') +  if([nonprecise_anc_2_arm_1][f6a3_visit_date] <> """",'1','0') +  if([nonprecise_anc_3_arm_1][f6a3_visit_date] <> """",'1','0') +  if([nonprecise_anc_4_arm_1][f6a3_visit_date] <> """",'1','0') +  if([nonprecise_anc_5_arm_1][f6a3_visit_date] <> """",'1','0')",,,,,,,,RH,,,,
f2a_sum_last_anc_visit_date1,profile_summary,,descriptive,"<b>Date of last ANC Visit: <span style=""color:blue""><span style=""padding-left:30%""> [nonprecise_anc_1_arm_1][f6a3_visit_date]</span></b>",,,,,,," [nonprecise_anc_1_arm_1][f6a3_visit_date] <> """" and  [nonprecise_anc_2_arm_1][f6a3_visit_date] = """" and  [nonprecise_anc_3_arm_1][f6a3_visit_date] = """" and  [nonprecise_anc_4_arm_1][f6a3_visit_date] = """" and  [nonprecise_anc_5_arm_1][f6a3_visit_date] = """"",,RH,,,,
f2a_sum_last_anc_visit_date2,profile_summary,,descriptive,"<b>Date of last ANC Visit: <<span style=""color:blue""><span style=""padding-left:30%""> [nonprecise_anc_2_arm_1][f6a3_visit_date]</span></b>",,,,,,,"[nonprecise_anc_2_arm_1][f6a3_visit_date] <> """" and  [nonprecise_anc_3_arm_1][f6a3_visit_date] = """" and  [nonprecise_anc_4_arm_1][f6a3_visit_date] = """" and  [nonprecise_anc_5_arm_1][f6a3_visit_date] = """"",,RH,,,,
f2a_sum_last_anc_visit_date3,profile_summary,,descriptive,"<b>Date of last ANC Visit: <span style=""color:blue""><span style=""padding-left:30%"">[nonprecise_anc_3_arm_1][f6a3_visit_date]</span></b>",,,,,,,"[nonprecise_anc_3_arm_1][f6a3_visit_date] <> """" and  [nonprecise_anc_4_arm_1][f6a3_visit_date] = """" and  [nonprecise_anc_5_arm_1][f6a3_visit_date] = """"",,RH,,,,
f2a_sum_last_anc_visit_date4,profile_summary,,descriptive,"<b>Date of last ANC Visit:<span style=""color:blue""><span style=""padding-left:30%"">[nonprecise_anc_4_arm_1][f6a3_visit_date]</span></b>",,,,,,,"[nonprecise_anc_4_arm_1][f6a3_visit_date] <> """" and  [nonprecise_anc_5_arm_1][f6a3_visit_date] = """"",,RH,,,,
f2a_sum_last_anc_visit_date5,profile_summary,,descriptive,"<b>Date of last ANC Visit: <span style=""color:blue""><span style=""padding-left:30%""> [nonprecise_anc_5_arm_1][f6a3_visit_date]</span></b>",,,,,,,"[nonprecise_anc_5_arm_1][f6a3_visit_date] <> """"",,RH,,,,
f2a_sum_ga_birth_visit,profile_summary,,calc,Gestational age at Birth Visit,"round((datediff([precise_visit_1_arm_1][f2_visit_date],[birth_mother_arm_1][f2_visit_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,2)",weeks,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,,
f2a_sum_ga_birth_visit_week,profile_summary,,calc,Gestational age at Birth Visit - weeks,"rounddown((datediff([precise_visit_1_arm_1][f2_visit_date],[birth_mother_arm_1][f2_visit_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,0)",weeks,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,, @HIDDEN
f2a_sum_ga_birth_visit_day,profile_summary,,calc,<span style='margin-left:10em'>+ day(s),"round(([f2a_sum_ga_birth_visit] - [f2a_sum_ga_birth_visit_week])*7, 0)",day(s),,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,, @HIDDEN
f2a_sum_delivery_date,profile_summary,,descriptive,"<b>Delivery Date: <span style=""color:blue""><span style=""padding-left:37%"">[birth_baby_1_arm_1][f9_delivery_date]</span></b>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,,
f2a_sum_ga_at_delivery,profile_summary,,calc,Gestational age at Delivery,"round((datediff([precise_visit_1_arm_1][f2_visit_date],[birth_baby_1_arm_1][f9_delivery_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,2)",weeks,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,,
f2a_sum_ga_at_delivery_week,profile_summary,,calc,Gestational age at Delivery - weeks,"rounddown((datediff([precise_visit_1_arm_1][f2_visit_date],[birth_baby_1_arm_1][f9_delivery_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,0)",weeks,,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,, @HIDDEN
f2a_sum_ga_at_delivery_day,profile_summary,,calc,<span style='margin-left:10em'>+ day(s),"round(([f2a_sum_ga_at_delivery] - [f2a_sum_ga_at_delivery_week])*7, 0)",day(s),,,,,[profile_summary_arm_1][f2a_cohort] > 1,,RH,,,, @HIDDEN
f2a_sum_num_babies,profile_summary,,calc,Number of babies:,"if([birth_mother_arm_1][f7_delivery_num_of_babies]  > '0' , [birth_mother_arm_1][f7_delivery_num_of_babies], """")",,,,,,,,RH,,,,
f2a_sum_ltfu_withdrawal,profile_summary,,calc," <span style=""background:yellow""> <span style=""color:blue"">Lost to followup or withdrawal</span>","if([fw_withdraw_from_study]  = '1' or [fw_lost_to_followup] = '1', 1, 0)","1 = Yes, 0 = No",,,,,,,RH,,,,
f2a_sum_tod_eligibility,profile_summary,,calc,"<span style=""color: #B0B0B0""><i>ToD Eligibility (Office Use Only)</i></span>","if([precise_visit_1_arm_1][f6a_tod_hypertension_cohort] = ""1"" or [precise_visit_1_arm_1][f6a_tod_stillbirth_cohort] = ""1"" or [precise_visit_1_arm_1][f6a_tod_fgr_cohort] = ""1"" or [precise_visit_2_arm_1][f6a2_tod_hypertension_cohort] = ""1"" or [precise_visit_2_arm_1][f6a2_tod_stillbirth_cohort] = ""1"" or [precise_visit_2_arm_1][f6a2_tod_fgr_cohort] = ""1"" or [nonprecise_anc_1_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_1_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_1_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_2_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_2_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_2_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_3_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_3_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_3_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_4_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_4_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_4_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_5_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_5_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_5_arm_1][f6a3_tod_fgr_cohort] = ""1"",""1"",""0"")","1 = Yes, 0 = No",,,,,,,RH,,,,
f2a_2_app_username,profile_summary,,text,Mobile app username:,,,,,,,,,RH,,,, @APPUSERNAME-APP @READONLY @HIDDEN-APP
f2_profile_reminder,general_info,,descriptive,"<span style=""color:blue""><span style=""font-size:1.2em"">Please confirm the woman's contact information on the Profile form if you haven't done so.</span>",,,,,,,,,RH,,,,
f2_visit_date,general_info,,text,Visit Date,,,date_ymd,,,,,y,RH,,,, @TODAY
f2_ga_at_visit,general_info,,calc,<span style='color: grey'>Gestational age at this visit (Autopopulated)</span>,"round((datediff([precise_visit_1_arm_1][f2_visit_date],[f2_visit_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,2)",weeks,,,,,"[precise_visit_1_arm_1][f6a_ga_enrol] <> """" and ([precise_visit_1_arm_1][f2_visit_date] = [f2_visit_date] or ([profile_summary_arm_1][f2a_cohort] <> '1' and [profile_summary_arm_1][f2a_cohort] < '4' and  [precise_visit_2_arm_1][f2_visit_date] = [f2_visit_date]) or ([profile_summary_arm_1][f2a_cohort] <> '1' and [birth_mother_arm_1][f2_visit_date] = [f2_visit_date]))",,RH,,,,
f2_ga_at_visit_week,general_info,,calc,<span style='color: grey'>Gestational age at this visit - weeks (Autopopulated)</span>,"rounddown((datediff([precise_visit_1_arm_1][f2_visit_date],[f2_visit_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,0)",weeks,,,,,"[precise_visit_1_arm_1][f6a_ga_enrol] <> """" and ([precise_visit_1_arm_1][f2_visit_date] = [f2_visit_date] or ([profile_summary_arm_1][f2a_cohort] <> '1' and [profile_summary_arm_1][f2a_cohort] < '4' and  [precise_visit_2_arm_1][f2_visit_date] = [f2_visit_date]) or ([profile_summary_arm_1][f2a_cohort] <> '1' and [birth_mother_arm_1][f2_visit_date] = [f2_visit_date]))",,RH,,,, @HIDDEN
f2_ga_at_visit_day,general_info,,calc,<span style='margin-left:10em'><span style='color: grey'>+ day(s) (Autopopulated),"round(([f2_ga_at_visit] - [f2_ga_at_visit_week])*7, 0)",day(s),,,,,"[precise_visit_1_arm_1][f6a_ga_enrol] <> """" and ([precise_visit_1_arm_1][f2_visit_date] = [f2_visit_date] or ([profile_summary_arm_1][f2a_cohort] <> '1' and [profile_summary_arm_1][f2a_cohort] < '4' and  [precise_visit_2_arm_1][f2_visit_date] = [f2_visit_date]) or ([profile_summary_arm_1][f2a_cohort] <> '1' and [birth_mother_arm_1][f2_visit_date] = [f2_visit_date]))",,RH,,,, @HIDDEN
f2_visit_date_early,general_info,,descriptive,"<span style=""color:blue"">Warning: This visit is occurring early.  It should occur on or after 28 days + [precise_visit_1_arm_1][f2_visit_date] <b>AND</b> reach at least 28 weeks of gestation.  Please ensure completing this form is justified.",,,,,,,"((datediff ([precise_visit_1_arm_1][f2_visit_date], [precise_visit_2_arm_1][f2_visit_date], ""d"",""ymd"", true) < 28) or ([precise_visit_2_arm_1][f2_ga_at_visit]<28)) and ([precise_visit_2_arm_1][f2_visit_date] <> """") and ([precise_visit_1_arm_1][f2_visit_date] <>[f2_visit_date]) ",,RH,,,,
f2_interviewer_id,general_info,General Visit Information,text,Interviewer/data collector ID,,,,,,,,y,RH,,,,
f2_mz_health_facility,general_info,,radio,(MZ) What is the name of the health facility where the woman is being seen?,"1, Xinavane | 2, Manhica",,,,,,,y,RH,,,,
f2_woman_addr,general_info,,text,What is the address of where you currently live?,,,,,,,,y,RH,,,,
f2_mz_administrative_post,general_info,,dropdown,(MZ) What is the Administrative Post where you currently live?,"1, 3 DE FEVEREIRO | 2, 4 DE FEVEREIRO | 3, 5 DE FEVEREIRO | 4, 6 DE FEVEREIRO | 5, 7 DE FEVEREIRO | 6, 8 DE FEVEREIRO | 7, 9 DE FEVEREIRO | 8, 10 DE FEVEREIRO | 9, Calanga | 10, CHAIMITE | 11, CHICUMBANE | 12, CHISSANO | 13, CHONGOENE | 14, ILHA JOSINA | 15, Ilha Josina Machel | 16, MAGUDE | 17, MAHELE | 18, MALEHICE | 19, MALUANA | 20, MANHICA | 21, Manhica -Sede | 22, MAZIVILA | 23, MESSANO | 24, MOTAZE | 25, PANDJANE | 26, XILEMBENE | 27, Xinavane",,,,,,,y,RH,,,,
f2_mz_administrative_post_other,general_info,,yesno,(MZ) Other Administrative Post?,,,,,,,"[f2_mz_administrative_post] = """"",y,RH,,,,
f2_mz_administrative_post_other_name,general_info,,text,(MZ) Name of other Administrative Post,,,,,,,[f2_mz_administrative_post_other] = '1',y,RH,,,,
f2_mz_administrative_post_dk,general_info,,yesno,(MZ) Don't know Administrative Post?,,,,,,,"[f2_mz_administrative_post] = """" and [f2_mz_administrative_post_other] <> '0'  and [f2_mz_administrative_post_other_name] = ''",y,RH,,,,
f2_mz_loc_3_de_fevereiro,general_info,,dropdown,(MZ) What is the Locality of where you currently live in 3 DE FEVEREIRO,"1, 3 DE FEVEREIRO | 2, 3 de Fevereiro - Sede | 3, Manchiana | 4, PALMEIRA | 5, Taninga",,,,,,[f2_mz_administrative_post] = '1',y,RH,,,,
f2_mz_loc_calanga,general_info,,dropdown,(MZ) What is the Locality of where you currently live in Calanga,"1, Checua | 2, Chichongue | 3, LAGOA PATE",,,,,,[f2_mz_administrative_post] = '9',y,RH,,,,
f2_mz_loc_chaimite,general_info,,dropdown,(MZ) What is the Locality of where you currently live in CHAIMITE,"1, CHAIMITE | 2, MUKOTUENE | 3, TLATLENE",,,,,,[f2_mz_administrative_post] = '10',y,RH,,,,
f2_mz_loc_chicumbane,general_info,,radio,(MZ) What is the Locality of where you currently live in CHICUMBANE,"1, CHICUMBANE",,,,,,[f2_mz_administrative_post] = '11',y,RH,,,,
f2_mz_loc_chissano,general_info,,dropdown,(MZ) What is the Locality of where you currently live in CHISSANO,"1, CHIKOTAN | 2, CHISSANO | 3, LICILO",,,,,,[f2_mz_administrative_post] = '12',y,RH,,,,
f2_mz_loc_chongoene,general_info,,radio,(MZ) What is the Locality of where you currently live in CHONGOENE,"1, Chongoene | 2, SIAIA",,,,,,[f2_mz_administrative_post] = '13',y,RH,,,,
f2_mz_loc_ilha_josina,general_info,,radio,(MZ) What is the Locality of where you currently live in ILHA JOSINA,"1, ILHA JOSINA",,,,,,[f2_mz_administrative_post] = '14',y,RH,,,,
f2_mz_loc_ilha_josina_machel,general_info,,dropdown,(MZ) What is the Locality of where you currently live in Ilha Josina Machel,"1, Ilha Josina Machel - Sede | 2, Nzongoene",,,,,,[f2_mz_administrative_post] = '15',y,RH,,,,
f2_mz_loc_magude,general_info,,dropdown,(MZ) What is the Locality of where you currently live in MAGUDE,"1, CHICHUCO | 2, MAGUIGUANE | 3, MATCHABE",,,,,,[f2_mz_administrative_post] = '16',y,RH,,,,
f2_mz_loc_mahele,general_info,,radio,(MZ) What is the Locality of where you currently live in MAHELE,"1, CHICUTSO | 2, MAHELE",,,,,,[f2_mz_administrative_post] = '17',y,RH,,,,
f2_mz_loc_malehice,general_info,,dropdown,(MZ) What is the Locality of where you currently live in MALEHICE,"1, BAMBANE | 2, KOCA MISSAVA | 3, MALEHICE",,,,,,[f2_mz_administrative_post] = '18',y,RH,,,,
f2_mz_loc_maluana,general_info,,dropdown,(MZ) What is the Locality of where you currently live in MALUANA,"1, MALUANA | 2, Maluana - Sede | 3, Munguine",,,,,,[f2_mz_administrative_post] = '19',y,RH,,,,
f2_mz_loc_manhica,general_info,,radio,(MZ) What is the Locality of where you currently live in MANHICA,"1, MANHICA",,,,,,[f2_mz_administrative_post] = '20',y,RH,,,,
f2_mz_loc_manhica_sede,general_info,,dropdown,(MZ) What is the Locality of where you currently live in Manhica -Sede,"1, Cambeve | 2, Maciana | 3, Manhica - Sede",,,,,,[f2_mz_administrative_post] = '21',y,RH,,,,
f2_mz_loc_mazivila,general_info,,dropdown,(MZ) What is the Locality of where you currently live in MAZIVILA,"1, DZIMBENE | 2, MAZIVILA | 3, OLOMBE",,,,,,[f2_mz_administrative_post] = '22',y,RH,,,,
f2_mz_loc_messano,general_info,,dropdown,(MZ) What is the Locality of where you currently live in MESSANO,"1, MAGUL | 2, MAMANHO | 3, MESSANO",,,,,,[f2_mz_administrative_post] = '23',y,RH,,,,
f2_mz_loc_motaze,general_info,,radio,(MZ) What is the Locality of where you currently live in MOTAZE,"1, MOTAZE",,,,,,[f2_mz_administrative_post] = '24',y,RH,,,,
f2_mz_loc_pandjane,general_info,,radio,(MZ) What is the Locality of where you currently live in PANDJANE,"1, PANDJANE",,,,,,[f2_mz_administrative_post] = '25',y,RH,,,,
f2_mz_loc_xilembene,general_info,,radio,(MZ) What is the Locality of where you currently live in XILEMBENE,"1, XILEMBENE",,,,,,[f2_mz_administrative_post] = '26',y,RH,,,,
f2_mz_loc_xinavane,general_info,,dropdown,(MZ) What is the Locality of where you currently live in Xinavane,"1, 25 de Setembro | 2, Xinavane - Sede",,,,,,[f2_mz_administrative_post] = '27',y,RH,,,,
f2_mz_locality_other,general_info,,yesno,(MZ) Other Locality?,,,,,,,"([f2_mz_loc_3_de_fevereiro] = '' and [f2_mz_loc_calanga] = '' and [f2_mz_loc_chaimite] = '' and [f2_mz_loc_chicumbane] = '' and [f2_mz_loc_chissano] = '' and [f2_mz_loc_chongoene] = '' and [f2_mz_loc_ilha_josina] = '' and [f2_mz_loc_ilha_josina_machel] = '' and [f2_mz_loc_magude] = '' and [f2_mz_loc_mahele] = '' and [f2_mz_loc_malehice] = '' and [f2_mz_loc_maluana] = '' and [f2_mz_loc_manhica] = '' and [f2_mz_loc_manhica_sede] = '' and [f2_mz_loc_mazivila] = '' and [f2_mz_loc_messano] = '' and [f2_mz_loc_motaze] = '' and [f2_mz_loc_pandjane] = '' and [f2_mz_loc_xilembene] = '' and [f2_mz_loc_xinavane] = '') or [f2_mz_administrative_post] = """"",y,RH,,,,
f2_mz_locality_other_name,general_info,,text,(MZ) Name of other Locality,,,,,,,[f2_mz_locality_other] = '1',y,RH,,,,
f2_mz_locality_dk,general_info,,yesno,(MZ) Don't know Locality?,,,,,,,"([f2_mz_loc_3_de_fevereiro] = '' and [f2_mz_loc_calanga] = '' and [f2_mz_loc_chaimite] = '' and [f2_mz_loc_chicumbane] = '' and [f2_mz_loc_chissano] = '' and [f2_mz_loc_chongoene] = '' and [f2_mz_loc_ilha_josina] = '' and [f2_mz_loc_ilha_josina_machel] = '' and [f2_mz_loc_magude] = '' and [f2_mz_loc_mahele] = '' and [f2_mz_loc_malehice] = '' and [f2_mz_loc_maluana] = '' and [f2_mz_loc_manhica] = '' and [f2_mz_loc_manhica_sede] = '' and [f2_mz_loc_mazivila] = '' and [f2_mz_loc_messano] = '' and [f2_mz_loc_motaze] = '' and [f2_mz_loc_pandjane] = '' and [f2_mz_loc_xilembene] = '' and [f2_mz_loc_xinavane] = '' and [f2_mz_locality_other] <>'0' and [f2_mz_locality_other_name] ='') or [f2_mz_administrative_post] = """"",y,RH,,,,
f2_mz_nbr_3_de_fevereiro_3_de_fevereiro,general_info,,dropdown,(MZ) What is the Neighbourhood of where you currently live in 3 DE FEVEREIRO,"1, Bairro I | 2, Bairro II | 3, Bairro III | 4, Bairro IV | 5, Bairro V | 6, Bairro VI | 7, Bairro VII | 8, Bairro VIII | 9, Bairro IX",,,,,,[f2_mz_loc_3_de_fevereiro] = '1',y,RH,,,,
f2_mz_nbr_3_de_fevereiro_3_de_fevereiro_sede,general_info,,dropdown,(MZ) What is the Neighbourhood of where you currently live in 3 de Fevereiro - Sede,"1, Bairro I | 2, Bairro II | 3, Bairro III | 4, Bairro IV | 5, Bairro V | 6, Bairro VI | 7, Bairro VII | 8, Bairro VIII-Buna | 9, Bairro IX-Mirona | 10, Bairro X",,,,,,[f2_mz_loc_3_de_fevereiro] = '2',y,RH,,,,
