field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
f6a_sc_tb_test,investigations_and_complications,,radio,"=> If yes, which test(s) were used","1, Skin test | 2, IGRA",,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5' and ([f6a_sc_tb] = '1'),y,RH,,,,
f6a_sc_malaria,investigations_and_complications,,radio,Has the woman previously been screened for malaria in this pregnancy?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_sc_malaria_test,investigations_and_complications,,dropdown,"=> If yes, which test was used?","1, Blood film | 2, RDT | 3, PCR | 90, Other | 99, Don't know",,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5' and ([f6a_sc_malaria] = '1'),y,RH,,,,
f6a_sc_malaria_test_other,investigations_and_complications,,text,"==> If other, please specify",,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5' and ([f6a_sc_malaria_test] = '90'),y,RH,,,,
f6a_sc_syphilis,investigations_and_complications,,radio,Has the woman previously been screened for syphilis in this pregnancy?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_sc_stools,investigations_and_complications,,radio,Were the woman's stools previously tested for ova and parasites in this pregnancy?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_postpartum_in_haemoglobin,investigations_and_complications,"Investigations  <br><span style='color: blue'><span style='background:yellow'>When you complete this section, please go to the laboratory test tab to fill in the results</span>",descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Was the woman's haemoglobin concentration measured in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_in_haemoglobin_label,investigations_and_complications,,descriptive,<b>Has the woman's haemoglobin concentration been measured in this pregnancy to date?/Has the woman's haemoglobin concentration been measured since the last PRECISE visit?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_in_haemoglobin,investigations_and_complications,,dropdown,,"1, Yes | 0, No | 2, Not tested | 97, Unavailable | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_postpartum_in_wcc,investigations_and_complications,,descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Was the woman's white cell count tested in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_in_wcc_label,investigations_and_complications,,descriptive,<b>Has the woman's white cell count been tested in this pregnancy to date?/Has the woman's white cell count been tested since the last PRECISE visit?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_in_wcc,investigations_and_complications,,dropdown,,"1, Yes | 0, No | 2, Not tested | 97, Unavailable | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_postpartum_in_platelet,investigations_and_complications,,descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Was the woman's platelet count tested in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_in_platelet_label,investigations_and_complications,,descriptive,<b>Has the woman's platelet count been tested in this pregnancy to date?/Has the woman's platelet count been tested since the last PRECISE visit?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_in_platelet,investigations_and_complications,,dropdown,,"1, Yes | 0, No | 2, Not tested | 97, Unavailable | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_postpartum_in_serum_creatinine,investigations_and_complications,,descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Was the woman's serum creatinine level tested in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_in_serum_creatinine_label,investigations_and_complications,,descriptive,<b>Has the woman's serum creatinine level been tested in this pregnancy to date?/Has the woman's serum creatinine level tested since the last PRECISE visit?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_in_serum_creatinine,investigations_and_complications,,dropdown,,"1, Yes | 0, No | 2, Not tested | 97, Unavailable | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_postpartum_in_ast,investigations_and_complications,,descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Was the woman's aspartate transaminase level tested in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_in_ast_label,investigations_and_complications,,descriptive,<b>Has the woman's aspartate transaminase level been tested in this pregnancy to date?/Has the woman's aspartate transaminase level tested since the last PRECISE visit?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_in_ast,investigations_and_complications,,dropdown,,"1, Yes | 0, No | 2, Not tested | 97, Unavailable | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_postpartum_in_alt,investigations_and_complications,,descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Was the woman's alanine aminotransferase level tested in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_in_alt_label,investigations_and_complications,,descriptive,<b>Has the woman's alanine aminotransferase level been tested in this pregnancy to date?/Has the woman's alanine aminotransferase level tested since the last PRECISE visit?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_in_alt,investigations_and_complications,,dropdown,,"1, Yes | 0, No | 2, Not tested | 97, Unavailable | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_consultation_antenatal_ward,investigations_and_complications,Visit Summary,yesno,Was the woman admitted to antenatal ward for monitoring and-or treatment?,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_consultation_labour_ward,investigations_and_complications,,yesno,Was the woman admitted to labour ward?,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_consultation_maternity,investigations_and_complications,,yesno,Was the woman admitted to maternity waiting home?,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_consultation_other_service,investigations_and_complications,,yesno,Was the woman referred to another service within facility?,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_consultation_another_facility,investigations_and_complications,,yesno,Was the woman referred to another facility?,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',y,RH,,,,
f6a_warning,investigations_and_complications,,descriptive,"<div class=""blue"" style=""text-align:center""><p style=""text-align:center""><b> Please remember to fill in HTN/FGR/IUFD form.</b>
</div></p>
",,,,,,,([f6a_tod_hypertension_cohort] = '1' or [f6a_tod_stillbirth_cohort] = '1' or [f6a_tod_fgr_cohort] = '1') and [f2a_cohort] > '1',,RH,,,,
f6a_lab_warning,investigations_and_complications,,descriptive,"<span style=""color:blue"">Please go to the laboratory test tab to fill in any results</span>",,,,,,,[f2a_cohort] <> '1',,RH,,,,
fs_maternal_blood,investigations_and_complications,Sample Collection,yesno,Was Maternal Blood collected?,,,,,,,[f2a_cohort] <> '5',y,RH,,,,
fs_maternal_blood_reason,investigations_and_complications,,dropdown,"=> if no, why?","0, No consent | 1, Participant refused | 2, No staff member available to collect sample | 3, No staff member available to process the sample | 4, Research team were unable to successfully draw blood | 5, Participant left before sample was collected | 8, Participant did not deliver in one of the study sites | 90, Other (specify) | 99, Don't know",,,,,,[f2a_cohort] <> '5' and ([fs_maternal_blood] = '0'),y,RH,,,,
fs_maternal_blood_reason_other,investigations_and_complications,,text,"=> if no, other reason (specify)",,,,,,,[f2a_cohort] <> '5' and ([fs_maternal_blood_reason] = '90'),y,RH,,,,
fs_maternal_urine,investigations_and_complications,,yesno,Was Maternal Urine collected?,,,,,,,[f2a_cohort] <> '5',y,RH,,,,
fs_maternal_urine_reason,investigations_and_complications,,dropdown,"=> if no, why?","0, No consent | 1, Participant refused | 2, No staff member available to collect sample | 3, No staff member available to process the sample | 6, Participant unable to produce sample | 8, Participant did not deliver in one of the study sites | 90, Other (specify) | 99, Don't know",,,,,,[f2a_cohort] <> '5' and ([fs_maternal_urine] = '0'),y,RH,,,,
fs_maternal_urine_reason_other,investigations_and_complications,,text,"=> if no, other reason (specify)",,,,,,,[f2a_cohort] <> '5' and ([fs_maternal_urine_reason] = '90'),y,RH,,,,
fs_vaginal_swab,investigations_and_complications,,yesno,Was Vaginal swab collected?,,,,,,,[f2a_cohort] <> '5',y,RH,,,,
fs_vaginal_swab_reason,investigations_and_complications,,dropdown,"=> if no, why?","0, No consent | 1, Participant refused | 2, No staff member available to collect sample | 3, No staff member available to process the sample | 8, Participant did not deliver in one of the study sites | 90, Other (specify) | 99, Don't know",,,,,,[f2a_cohort] <> '5' and ([fs_vaginal_swab] = '0'),y,RH,,,,
fs_vaginal_swab_reason_other,investigations_and_complications,,text,"=> if no, other reason (specify)",,,,,,,[f2a_cohort] <> '5' and ([fs_vaginal_swab_reason] = '90'),y,RH,,,,
f6a_10_app_username,investigations_and_complications,System,text,Mobile app username:,,,,,,,,,RH,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
f6a_10_system_datetime,investigations_and_complications,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,y,RH,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
fw_interviewer_id,lost_to_followup_withdrawal,General Visit Information,text,Interviewer/data collector ID,,,,,,,,y,RH,,,,
fw_withdraw_from_study,lost_to_followup_withdrawal,Withdraw or Lost to Follow-up,yesno,Did the woman withdraw from the study?,,,,,,,,y,RH,,,,
fw_withdraw_reason,lost_to_followup_withdrawal,,dropdown,"=> If yes, please state the major reason for withdrawal","1, Unhappy with the study | 2, No reason given | 90, Other (please specify)",,,,,,[fw_withdraw_from_study] = '1',y,RH,,,,
fw_withdraw_reason_other,lost_to_followup_withdrawal,,text,"==> If other, please specify",,,,,,,[fw_withdraw_reason] = '90',y,RH,,,,
fw_consent_for_datacollection,lost_to_followup_withdrawal,,yesno,"=> If yes, does the woman give consent to have her and her baby's information collected from medical records?",,,,,,,[fw_withdraw_from_study] = '1',y,RH,,,,
fw_lost_to_followup,lost_to_followup_withdrawal,,yesno,Was the woman lost to follow-up?,,,,,,,,y,RH,,,,
fw_lost_decision_date,lost_to_followup_withdrawal,,text,"=> If yes, please specify the date on which this decision was made?",,,date_ymd,,,,[fw_lost_to_followup] = '1',y,RH,,,,
fw_24_app_username,lost_to_followup_withdrawal,,text,Mobile app username:,,,,,,,,,RH,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
fw_24_system_datetime,lost_to_followup_withdrawal,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,y,RH,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
f6c_interviewer_id,htnfgr,General Visit Information,text,Interviewer/data collector ID,,,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6c_tod_eligible,htnfgr,,calc,TOD Eligible,"if([f6a_tod_hypertension_cohort] = '1' or [f6a_tod_stillbirth_cohort] = '1' or [f6a_tod_fgr_cohort] = '1',1,0)",,,,,,[f2a_cohort] <> '1',,RH,,,,
f6c_sx_headache_in24h,htnfgr,Maternal symptoms,yesno,"Within the last 24 hrs, have you had a headache?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_sx_visual_in24h,htnfgr,,yesno,"Within the last 24 hrs, have you had visual symptoms?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_sx_chest_pain_in24h,htnfgr,,yesno,"Within the last 24 hrs, have you had chest pain?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_sx_short_of_breath_in24h,htnfgr,,yesno,"Within the last 24 hrs, have you experienced shortness of breath?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_sx_abdominal_pain_in24h,htnfgr,,yesno,"Within the last 24 hrs, have you had any abdominal pain?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_sx_vaginal_bleeding_in24h,htnfgr,,yesno,"Within the last 24 hrs, have you had any vaginal bleeding?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_ke_sx_vaginal_bleeding_in24h_size,htnfgr,,radio,=> (KE) Was the blood spot the size of a 20 shilling coin?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_sx_vaginal_bleeding_in24h] = '1'),y,RH,,,,
f6c_pulse_oximetry,htnfgr,Lab,text,What is the woman's pulse oximetry? (%),,,number,85,100,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_pulse_oximetry_dk,htnfgr,,yesno,Don't know pulse oximetry,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_pulse_oximetry] = ''),y,RH,,,,
f6c_ix_blood_test_request,htnfgr,"Investigations  <br><span style='color: blue'><span style='background:yellow'>When you complete this section, please go to the laboratory test tab to fill in the results</span>",yesno,Were blood tests requested?,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_ix_lab_warning,htnfgr,,descriptive,"If yes, please navigate to the Laboratory Table to enter test results.
",,,,,,,[f2a_cohort] <> '1' and [f6c_ix_blood_test_request] = '1'  and [f6c_tod_eligible] = '1',,RH,,,,
f6c_ix_haemoglobin_tested,htnfgr,,dropdown,"=> If yes, was the woman's haemoglobin level tested?","1, Yes | 0, No - test not required | 97, No - test not available",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_ix_blood_test_request] = '1'),y,RH,,,,
f6c_ix_wcc_tested,htnfgr,,dropdown,"=> If yes, was the woman's white cell count (WCC) tested?","1, Yes | 0, No - test not required | 97, No - test not available",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_ix_blood_test_request] = '1'),y,RH,,,,
f6c_ix_platelet_tested,htnfgr,,dropdown,"=> If yes, was the woman's platelet count tested?","1, Yes | 0, No - test not required | 97, No - test not available",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_ix_blood_test_request] = '1'),y,RH,,,,
f6c_ix_creatinine_tested,htnfgr,,dropdown,"=> If yes, was the woman's serum creatinine tested?","1, Yes | 0, No - test not required | 97, No - test not available",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_ix_blood_test_request] = '1'),y,RH,,,,
f6c_ix_ast_tested,htnfgr,,dropdown,"=> If yes, was the woman's aspartate transaminase (AST) tested?","1, Yes | 0, No - test not required | 97, No - test not available",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_ix_blood_test_request] = '1'),y,RH,,,,
f6c_ix_alt_tested,htnfgr,,dropdown,"=> If yes, was the woman's alanine aminotransferase (ALT) tested?","1, Yes | 0, No - test not required | 97, No - test not available",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_ix_blood_test_request] = '1'),y,RH,,,,
f6c_ix_other_tests_done,htnfgr,,yesno,Was any other investigation(s) carried out? (1),,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_fa_ultrasound_done,htnfgr,Fetal assessment,radio,"Was an ultrasound done following the diagnosis of hypertension, suspected fetal growth restriction (FGR), or interuterine fetal death (IUFD)?","1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1',y,RH,,,,
f6c_fa_ultrasound_date,htnfgr,,text,"=> If yes, what was the DATE of the ultrasound?",,,date_ymd,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_ultrasound_date_dk,htnfgr,,yesno,=> Don't know the date of ultrasound,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_ultrasound_date] = ''),y,RH,,,,
f6c_fa_fetal_abnormality,htnfgr,,yesno,"=> If yes, was a fetal abnormality diagnosed?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_fetal_abnormality_type,htnfgr,,dropdown,"==> If yes, specify type","0, None | 99, Not assessed | 1, CNS | 2, Cardiac | 3, Urogenital | 4, Gastrointestinal | 5, Musculoskeletal | 6, Respiratory | 7, Multiple | 90, Other Abnormality | 98, Not visualised",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_fetal_abnormality] = '1'),y,RH,,,,
f6c_fa_tcd,htnfgr,,text,"=> If yes, what was the TCD? (mm) (2 decimals)",,,number,10,50,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_tcd_na,htnfgr,,yesno,=> Don't know TCD,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_tcd] = ''),y,RH,,,,
f6c_fa_crl,htnfgr,,text,"=> If yes, what was the CRL? (mm) (2 decimals)",,,number,7,85,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_crl_na,htnfgr,,yesno,=> Don't know CRL,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_crl] = ''),y,RH,,,,
f6c_fa_bpd,htnfgr,,text,"=> If yes, what was the BPD? (mm) (2 decimals)",,,number,20,110,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_bpd_na,htnfgr,,yesno,=> Don't know BPD,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_bpd] = ''),y,RH,,,,
f6c_fa_hc,htnfgr,,text,"=> If yes, what was the HC? (mm) (2 decimals)",,,number,80,380,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_hc_na,htnfgr,,yesno,=> Don't know HC,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_hc] = ''),y,RH,,,,
f6c_fa_ac,htnfgr,,text,"=> If yes, what was the AC? (mm) (2 decimals)",,,number,136,283,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_ac_na,htnfgr,,yesno,=> Don't know AC,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_ac] = ''),y,RH,,,,
f6c_fa_fl,htnfgr,,text,"=> If yes, what was the FL? (mm) (2 decimals)",,,number,26,62,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_fl_na,htnfgr,,yesno,=> Don't know FL,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_fl] = ''),y,RH,,,,
f6c_fa_suspicion_fgr,htnfgr,,yesno,"=> If yes, is there a clinical suspicion of FGR?",,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_afi,htnfgr,,text,"=> If yes, what was the AFI? (mm) (2 decimals)",,,number,15,180,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_afi_na,htnfgr,,yesno,=> Don't know AFI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_afi] = ''),y,RH,,,,
f6c_fa_af_pocket_depth,htnfgr,,text,"=> If yes, what was the depth of the deepest amniotic fluid pocket (mm)? (2 decimals)",,,number,5,100,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_af_pocket_depth_na,htnfgr,,yesno,=> Don't know depth of the deepest amniotic fluid pocket,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_af_pocket_depth] = ''),y,RH,,,,
f6c_fa_umbilical_ri,htnfgr,,text,"=> If yes, what was the umbilical RI? (2 decimals)",,,number,0.4,1,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_umbilical_ri_na,htnfgr,,yesno,=> Don't know umbilical RI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_umbilical_ri] = ''),y,RH,,,,
f6c_fa_umbilical_pi,htnfgr,,text,"=> If yes, what was the umbilical PI? (2 decimals)",,,number,0.5,5,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_umbilical_pi_na,htnfgr,,yesno,=> Don't know umbilical PI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_umbilical_pi] = ''),y,RH,,,,
f6c_fa_umbilical_edv,htnfgr,,dropdown,"=> If yes, what was the umbilical EDV?","1, Present/intermittently absent | 2, Absent/intermittently reversed | 3, Reversed | 4, No result",,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_umbilical_edv_na,htnfgr,,yesno,=> Don't know umbilical EDV,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_umbilical_edv] = ''),y,RH,,,,
f6c_fa_left_ua_ri,htnfgr,,text,"=> If yes, what was the L Ut RI? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_left_ua_ri_na,htnfgr,,yesno,=> Don't know L Ut RI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_left_ua_ri] = ''),y,RH,,,,
f6c_fa_right_ua_ri,htnfgr,,text,"=> If yes, what was the R Ut RI? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_right_ua_ri_na,htnfgr,,yesno,=> Don't know R Ut RI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_right_ua_ri] = ''),y,RH,,,,
f6c_fa_mean_ua_ri,htnfgr,,calc,"=> If yes, what was the mean Ut RI?",([f6c_fa_left_ua_ri] + [f6c_fa_right_ua_ri])/2,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),,RH,,,,
f6c_fa_left_ua_pi,htnfgr,,text,"=> If yes, what was the L Ut PI? (2 decimals)",,,number,0.45,2.8,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_left_ua_pi_na,htnfgr,,yesno,=> Don't know L Ut PI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_left_ua_pi] = ''),y,RH,,,,
f6c_fa_right_ua_pi,htnfgr,,text,"=> If yes, what was the R Ut PI? (2 decimals)",,,number,0.45,2.8,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),y,RH,,,,
f6c_fa_right_ua_pi_na,htnfgr,,yesno,=> Don't know R Ut PI,,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1' and [f6c_fa_right_ua_pi] = ''),y,RH,,,,
f6c_fa_mean_ua_pi,htnfgr,,calc,"=> If yes, what was the mean Ut PI?",([f6c_fa_left_ua_pi] + [f6c_fa_right_ua_pi])/2,,,,,,[f2a_cohort] <> '1'  and [f6c_tod_eligible] = '1' and ([f6c_fa_ultrasound_done] = '1'),,RH,,,,
f6c_15_app_username,htnfgr,,text,Mobile app username:,,,,,,,,,RH,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
f6c_15_system_datetime,htnfgr,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,y,RH,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
comments,comments,,notes,comments,,,,,,,,,RH,,,,
