facility_code,exposure_month,landsat,modis,era5,landsat-7
2201,2018_11,42.32124608000004,37.25000000000003,28.119474516974606,43.57565942000002
2201,2018_12,39.03994688,37.025000000000034,25.961852256200643,38.83144766000001
2201,2019_01,35.331395180000015,38.005000000000024,24.89588738308163,23.83659392000004
2201,2019_02,38.91689816000002,38.195000000000036,26.515117717924568,40.14054931999999
2201,2019_03,44.664298790000004,41.675000000000026,26.74107343201996,41.369327510000005
2201,2019_04,44.31053372000002,45.3166666666667,29.628796619839136,46.85012258000003
2201,2019_05,47.37991568000001,44.71500000000002,28.34774094038113,43.86277310000003
2201,2019_06,43.22873039000001,42.43500000000003,28.413359938727524,
2201,2019_07,47.01760555999999,34.73000000000004,28.323306758429453,
2201,2019_08,40.56780182,31.53000000000003,26.841438424715477,36.99597091999999
2201,2019_09,41.82905119999998,31.940000000000026,27.11243046654596,
2201,2019_10,42.05122250000005,30.716666666666697,27.66590687331336,24.11687156000005
2201,2019_11,42.53829035000001,37.835000000000036,28.753347206115734,34.398275720000015
2201,2019_12,38.92715221999998,37.145000000000024,26.23790782805412,27.893783660000054
2201,2020_01,42.01020626000002,34.74000000000004,25.522715628018943,11.85301579999998
2201,2020_02,44.1533048,40.410000000000025,28.7841146534887,37.69495601
2201,2020_03,49.09405271000003,44.045000000000044,29.11397971696755,41.44452395000002
2201,2020_04,47.80033214000002,44.31000000000003,30.63040849897601,44.677970870000024
2201,2020_05,47.63114015000002,42.163333333333355,29.175104108420783,43.08346454000002
2201,2020_06,26.08223306000002,33.915000000000035,29.824008348253074,
2201,2020_07,,29.690000000000055,27.271853055236193,31.414344260000007
2201,2020_08,,,26.620674531177826,35.659525099999996
2201,2020_09,40.35417557000005,29.740000000000038,26.524169392055967,
2201,2020_10,23.465738750000043,33.88000000000004,27.951422381657437,39.525305720000006
2201,2020_11,38.65371062000003,38.14333333333335,27.189075872633225,41.13006611
2201,2020_12,30.49147886000003,38.210000000000036,26.286066268592776,36.643914859999995
2201,2021_01,41.31634819999999,38.07500000000003,26.0719232538695,33.98811332
2201,2021_02,38.96475044000002,37.74000000000002,26.957853912171913,27.81004217000003
2201,2021_03,50.579182400000036,41.045000000000016,27.653645205754117,34.29231710000002
2201,2021_04,47.796914120000054,46.47000000000003,28.90424363878043,40.35930259999998
2201,2021_05,,40.91000000000004,28.647402515206295,38.28456446000001
2201,2021_06,48.69585338000002,38.23500000000003,29.607142194112157,37.32068282
2201,2021_07,40.00211951000003,30.910000000000025,28.699965413411462,33.352361599999995
2201,2021_08,,30.880000000000024,26.712983580558557,21.44739794000003
2201,2021_09,41.21722562000002,30.960000000000022,27.394301965501597,30.942657500000053
2201,2021_10,40.97625521000003,33.420000000000044,28.275568857500673,
2201,2021_11,38.92373420000001,38.26500000000003,28.618358696831592,
2201,2021_12,37.07971241000001,37.44500000000002,27.219148664577062,
2201,2022_01,42.18965231000004,37.520000000000024,27.089729645431703,
2201,2022_02,40.65325231999998,37.07500000000003,26.79132232666018,28.68676430000002
2201,2022_03,40.54216667000003,40.06000000000003,27.275622817008752,34.67855336000002
2201,2022_04,49.157286080000006,42.49666666666669,28.507342889573863,35.30746904
2201,2022_05,46.504902560000005,42.10500000000003,29.005084240821134,22.705229300000042
2201,2022_06,48.71977952000003,31.12500000000003,28.225946659512033,8.17522628000006
2201,2022_07,44.87792504000004,33.58000000000004,26.97004805123936,36.36363722000002
2201,2022_08,42.07514864000001,28.950000000000045,26.331940894998525,26.16426554000003
2201,2022_09,,28.81000000000003,26.47446079254155,18.59676926000003
2201,2022_10,39.77823920000003,34.110000000000014,27.320699905067386,30.142840820000032
2201,2022_11,44.37718511000003,35.28000000000003,26.08615413241921,28.387687550000038
2201,2022_12,37.65223076000001,36.87500000000003,25.507170449533817,16.005910100000023
2202,2018_11,39.57999404000003,31.280000000000015,27.94071746402318,38.21962208000002
2202,2018_12,38.76308726000002,31.650000000000034,25.83673674880822,35.66636114000002
2202,2019_01,35.970564920000015,33.11000000000003,24.79574509897543,35.351903300000004
2202,2019_02,39.585121070000014,34.03500000000004,26.31829387119842,35.71250441000004
2202,2019_03,44.44554550999999,39.50000000000003,26.42334409734258,43.028776220000054
2202,2019_04,44.37376709000003,42.69000000000003,29.12271209292942,47.66361133999999
2202,2019_05,47.12698220000004,42.430000000000035,27.75900501128166,46.83986851999998
2202,2019_06,41.08050481999999,39.62000000000003,27.863967577616393,45.59570924000002
2202,2019_07,47.33889943999998,35.28333333333336,28.19509880312029,37.00964299999998
2202,2019_08,37.918836320000025,32.63666666666669,26.880206905898262,36.22349840000004
2202,2019_09,36.09703166000003,28.965000000000018,27.14498254987933,
2202,2019_10,38.43153932000001,29.01000000000001,27.650733402211188,
2202,2019_11,40.99505432000004,31.730000000000018,28.565133772956017,36.96179072000004
2202,2019_12,39.06900005000003,31.76000000000002,25.997749582926474,33.759105980000015
2202,2020_01,42.61177778000001,29.81500000000004,25.248711091728637,16.672423999999978
2202,2020_02,44.31053372000002,36.97000000000004,28.43210315923585,38.49306367999998
2202,2020_03,48.812066060000035,41.04500000000003,28.689104149931268,41.844432290000015
2202,2020_04,48.772758830000015,42.97000000000003,30.0434293323093,42.39644252000005
2202,2020_05,49.247863610000024,40.870000000000026,28.5350041420229,44.97704762000001
2202,2020_06,,34.27000000000002,29.461790466308628,32.63457740000001
2202,2020_07,,28.620000000000033,27.29806798299154,26.39327288000004
2202,2020_08,30.925567399999977,,26.667132129464107,30.41799143000003
2202,2020_09,35.00497427000002,27.11000000000003,26.58651205698652,
2202,2020_10,,31.090000000000032,28.099011952389958,35.34506726000001
2202,2020_11,37.08142142000003,32.14333333333335,27.273179605272105,38.99893064
2202,2020_12,30.727322240000035,32.25000000000003,26.038326538250033,35.72104946000002
2202,2021_01,40.68401449999999,33.375000000000014,25.773444276214946,32.091112220000014
2202,2021_02,34.80160208000001,34.01500000000003,26.611781669798347,
2202,2021_03,44.18064896000004,38.48500000000003,27.276618576049827,33.09088307000002
2202,2021_04,44.565176210000004,43.09000000000005,28.34419589572485,39.54410483000001
2202,2021_05,44.66600779999999,38.17500000000004,28.01795810576408,14.717316560000029
2202,2021_06,49.71100532000003,35.775000000000034,29.161840544806637,38.13758960000001
2202,2021_07,36.76012754000001,31.956666666666706,28.520587683236727,
2202,2021_08,29.39771245999998,30.940000000000026,26.754576742520896,
2202,2021_09,35.608254800000054,28.65000000000002,27.44249261220301,30.006120020000026
2202,2021_10,37.79407859000003,30.900000000000034,28.30056308213102,25.795119380000017
2202,2021_11,35.78257382000001,32.03500000000004,28.544956461588583,33.8821547
2202,2021_12,35.965437890000004,30.615000000000038,26.95806520523564,
2202,2022_01,41.171082350000034,31.990000000000038,26.73030214207148,27.83909534000003
2202,2022_02,40.051680799999986,33.08000000000003,26.423597135997966,29.842055060000035
2202,2022_03,37.73426324000002,36.54500000000003,26.799842617075967,33.81721232000001
2202,2022_04,46.92190100000005,41.13000000000003,27.999622620476657,34.68538940000002
2202,2022_05,46.65529544000003,39.395000000000024,28.469353079026746,37.310428760000036
2202,2022_06,30.59060144,31.090000000000032,28.02365987565787,9.192087230000027
2202,2022_07,35.36899340000002,33.19000000000003,27.003224924559277,
2202,2022_08,36.97546280000006,,26.390356133573846,25.644726500000047
2202,2022_09,,28.383333333333344,26.546403609381798,
2202,2022_10,34.86141743000002,31.650000000000034,27.404085741760923,26.95041014000003
2202,2022_11,41.87006744000004,29.275000000000034,26.17073258293999,
2202,2022_12,37.296756680000044,30.55000000000004,25.388058701381908,7.68132239000002
2203,2018_11,40.71477668,37.08000000000003,28.50041798485654,42.05464052000002
2203,2018_12,37.93250840000002,36.49000000000004,26.251586799211395,40.42766300000005
2203,2019_01,40.30461428000001,37.25500000000004,25.112749887281893,29.889907340000036
2203,2019_02,39.991865450000034,37.28000000000003,26.862454259963272,34.82381921000001
2203,2019_03,47.12527319,41.55000000000004,27.188921844318372,45.11376842000004
2203,2019_04,48.14555216000002,45.656666666666695,30.2663997014364,49.71784136000002
2203,2019_05,50.32966694000004,44.61000000000004,29.05786988863383,46.868921690000036
2203,2019_06,43.30221782000001,43.24000000000004,29.052018250359424,46.59377108000001
2203,2019_07,47.37991568000001,,28.536751293879718,42.570761540000035
2203,2019_08,35.22885458000002,,26.880587555259808,37.30359271999998
2203,2019_09,39.05190995000004,29.115000000000038,27.1702972200182,28.22874962000003
2203,2019_10,39.32364254000001,30.73666666666668,27.813522695725965,
2203,2019_11,42.14009102,38.410000000000025,29.05533830854631,43.13473484000002
2203,2019_12,39.689370679999996,37.815000000000026,26.605657114008466,35.03060942000002
2203,2020_01,43.080046519999996,33.130000000000024,25.92501737533081,17.188545019999992
2203,2020_02,45.70508588000001,39.790000000000035,29.31814841785655,
2203,2020_03,51.60800641999998,43.785000000000025,29.708162869689318,43.42184852
2203,2020_04,49.97590187,44.625000000000014,31.353677813212073,47.381624690000024
2203,2020_05,49.87677929,43.80333333333338,29.886025857412733,45.045408020000025
2203,2020_06,,36.51000000000002,30.27900238037114,
2203,2020_07,,,27.36341103994721,
2203,2020_08,33.089174060000005,28.350000000000023,26.693467814948008,30.315450830000003
2203,2020_09,32.23296005,27.75666666666668,26.572655720180933,
2203,2020_10,19.13168939000002,34.59000000000003,27.975610679708552,40.328540420000024
2203,2020_11,39.728677910000016,38.31000000000004,27.355967691209628,41.28558602000004
2203,2020_12,43.81492082,37.98000000000003,26.656096825548445,36.26109661999999
2203,2021_01,40.96087412000003,38.11000000000004,26.474416638446144,34.00007639000003
2203,2021_02,39.86539871000002,37.24500000000002,27.38820117314657,31.633097540000023
2203,2021_03,53.35803266000005,41.26000000000003,28.112734587474563,35.97227393000003
2203,2021_04,36.273059690000025,46.496666666666705,29.519163343641537,43.473118820000025
2203,2021_05,47.94047096000003,41.070000000000036,29.360072626093427,
2203,2021_06,46.70998376,38.49000000000004,30.119086096021874,40.449880130000025
2203,2021_07,35.29892399000002,33.51000000000005,28.944360679708552,34.05134669000003
2203,2021_08,,31.130000000000024,26.770844908683557,
2203,2021_09,36.81481586000001,30.085000000000036,27.448246192932174,
2203,2021_10,38.117081480000024,34.930000000000035,28.41907366680846,21.112431979999997
2203,2021_11,31.788617450000032,39.67000000000003,28.89690687391493,35.50571420000006
2203,2021_12,38.91006212000002,37.92500000000004,27.62440897623702,
2203,2022_01,42.372516380000036,37.57000000000002,27.59022055184971,30.108660620000023
2203,2022_02,42.07514864000001,37.26000000000002,27.364948163713734,30.423118460000012
2203,2022_03,43.75168745000002,40.38500000000002,27.99756502130981,35.758647680000024
2203,2022_04,51.16366382000004,43.09666666666669,29.246741761101646,36.24058850000006
2203,2022_05,48.162642259999984,41.123333333333356,29.671102490989142,
2203,2022_06,48.0327575,34.20000000000002,28.571240170796727,30.46071668000002
2203,2022_07,35.823590060000015,34.75000000000003,27.079843078121087,34.661463260000005
2203,2022_08,39.720132860000035,,26.398239513110127,24.144215720000034
2203,2022_09,,27.605000000000032,26.512036747402647,
2203,2022_10,36.33287504000003,35.47000000000003,27.407052181613096,
2203,2022_11,42.96041582000004,35.77500000000005,26.36153933207197,29.302862405000027
2203,2022_12,38.68447279999998,36.18500000000002,25.8587592012139,6.907140860000027
