neighborhood_code,exposure_month,landsat,modis,era5,landsat-7
3,2018_11,41.97260804000001,36.395000000000024,27.843690554300963,40.68059648000002
3,2018_12,39.95426723,36.695000000000036,25.89333537112003,40.178147540000055
3,2019_01,35.89878650000003,36.15500000000003,24.96957322397543,34.887052580000045
3,2019_02,39.88932485000004,36.41000000000004,26.63998983474005,36.14488394
3,2019_03,46.40748899000002,41.54000000000002,26.871751670427216,43.66452794000003
3,2019_04,46.03150679000001,44.3766666666667,29.569768842061364,48.44975594000002
3,2019_05,47.468784200000016,44.12500000000003,28.253683795723873,47.166289430000006
3,2019_06,44.30369768000003,42.51000000000003,28.42419435713026,46.24513304000004
3,2019_07,50.859460040000045,32.09000000000003,28.266792141493966,
3,2019_08,39.94914019999999,33.47000000000003,26.790833060972147,39.51505166000004
3,2019_09,38.32216268000002,29.716666666666697,27.110347133212656,34.67855336000002
3,2019_10,40.574637860000024,30.82000000000005,27.623864807621146,
3,2019_11,42.31441004000004,35.89000000000003,28.588085704379637,36.99938894000002
3,2019_12,39.59708414000002,36.15500000000003,26.12472370927054,35.24252666000001
3,2020_01,42.82369502000006,32.72000000000003,25.583175872474612,
3,2020_02,45.49658666000005,38.99500000000005,28.86410578585219,
3,2020_03,50.36384714000002,42.69500000000002,29.284408249393607,42.782678780000026
3,2020_04,49.09063469000003,44.73000000000003,30.67392792171904,46.48781245999999
3,2020_05,50.616780620000014,42.05666666666671,29.252751327842816,45.52393082000003
3,2020_06,,33.64000000000003,29.83112640380864,
3,2020_07,,28.28000000000003,27.240332662931053,
3,2020_08,,29.450000000000045,26.610018974222157,36.54821030000005
3,2020_09,35.44077182000001,29.250000000000018,26.524044609069847,
3,2020_10,,32.68500000000003,28.036401695333552,
3,2020_11,38.44179338000001,36.94333333333335,27.232402695549865,39.43814621000001
3,2020_12,32.92852712000004,37.19500000000002,26.165938580420743,37.56336224000006
3,2021_01,42.08882072000006,36.86500000000002,26.02280373522035,34.08894491000001
3,2021_02,33.60871310000002,37.00000000000003,26.98633989152455,33.70441765999999
3,2021_03,44.708733050000006,40.210000000000036,27.62329563838182,33.13873535000002
3,2021_04,45.836679650000036,45.2166666666667,28.76373799641931,41.78461693999998
