neighborhood_code,exposure_month,landsat,modis,era5,landsat-7
258001,2018_11,,37.10000000000004,24.09580372704403,
258001,2018_12,,36.295000000000016,28.009871829453346,
258001,2019_01,,29.690000000000026,26.133780108216,
258001,2019_02,,28.04500000000003,26.2204632350377,
258001,2019_03,,28.525000000000034,26.415988376576422,
258001,2019_04,,25.710000000000036,23.782049115498864,
258001,2019_05,,25.77000000000004,21.717480103687592,
258001,2019_06,,24.725000000000023,20.05370010799834,
258001,2019_07,,26.000000000000043,20.703100315217057,
258001,2019_08,,29.08000000000004,22.468310169507106,
258001,2019_09,,30.950000000000017,21.963965839809873,
258001,2019_10,,34.970000000000006,24.242270385578138,
258001,2019_11,,33.985000000000014,26.259629758199083,
258001,2019_12,,34.09000000000003,25.74501153269125,
258001,2020_01,,28.755000000000038,26.93885201074744,
258001,2020_02,,28.17000000000003,26.313776336319165,
258001,2020_03,,28.09500000000004,25.145786252585822,
258001,2020_04,,26.650000000000034,23.49546383751766,
258001,2020_05,,23.86333333333336,20.971703465779626,
258001,2020_06,,22.580000000000027,18.946211581759997,
258001,2020_07,,23.485000000000028,18.797842218542655,
258001,2020_08,,27.690000000000026,20.54081954545876,
258001,2020_09,,31.00333333333337,21.980470932854587,
258001,2020_10,,33.14000000000004,23.376618219191073,
258001,2020_11,,36.8166666666667,26.564737764994334,
258001,2020_12,,32.030000000000015,26.60101817551481,
258001,2021_01,,32.06000000000003,26.18152401831844,
258001,2021_02,,25.325000000000017,25.53061653772994,
258001,2021_03,,28.225000000000023,25.17869718408076,
258001,2021_04,,26.916666666666703,23.493637084960938,
258001,2021_05,,24.88500000000002,21.223611142558468,
258001,2021_06,,22.40000000000002,19.043820254007983,
258001,2021_07,,23.42500000000004,18.920316765898065,
258001,2021_08,,28.31500000000004,20.667694182037053,
258001,2021_09,,32.445000000000036,22.108337338765466,
258001,2021_10,,36.3166666666667,22.775382470571913,
258001,2021_11,,30.54500000000003,24.866448974609398,
258001,2021_12,,35.140000000000015,26.418207279328385,
258001,2022_01,,27.18500000000003,26.14628626505538,
258001,2022_02,,29.65000000000002,26.365982854933975,
258001,2022_03,,27.930000000000035,25.237332116403934,
258001,2022_04,,25.3566666666667,23.614905823601646,
258001,2022_05,,23.760000000000034,20.818041020054977,
258001,2022_06,,20.980000000000047,18.00846890343564,
258001,2022_07,,22.505000000000024,19.272743048719178,
258001,2022_08,,25.190000000000026,20.79843850084535,
258001,2022_09,,31.995000000000033,23.10953837500682,
258001,2022_10,,35.690000000000055,25.10524711608889,
258001,2022_11,,29.795000000000044,24.887757322523328,
258001,2022_12,,30.56333333333337,25.66893330235638,
258002,2018_11,,37.21000000000002,24.35563174353706,
258002,2018_12,,37.88500000000003,28.23411630609985,
258002,2019_01,,31.02500000000005,26.315544116112505,
258002,2019_02,,31.176666666666694,26.609175800141884,
258002,2019_03,,28.345000000000027,26.836965569116785,
258002,2019_04,,27.356666666666683,24.013057687547473,
258002,2019_05,,26.120000000000033,21.982383182484625,
258002,2019_06,,23.835000000000036,20.3057698779636,
258002,2019_07,,25.32500000000003,20.929552558160594,
258002,2019_08,,28.620000000000033,22.777822728310866,
258002,2019_09,,31.060000000000016,22.2613833745321,
258002,2019_10,,36.410000000000046,24.668214395994823,
258002,2019_11,,37.703333333333354,26.539480018615734,
258002,2019_12,,35.23000000000002,26.04794804562806,
258002,2020_01,,31.765000000000015,27.187287410613067,
258002,2020_02,,28.470000000000027,26.592739271843584,
258002,2020_03,,27.55500000000002,25.458110366329095,
258002,2020_04,,26.100000000000023,23.786276011996847,
258002,2020_05,,23.663333333333373,21.212867150255477,
258002,2020_06,,22.20000000000003,19.145313686794736,
258002,2020_07,,22.39000000000003,18.982843058596416,
258002,2020_08,,26.590000000000032,20.74519675059986,
258002,2020_09,,31.476666666666706,22.18147190941704,
258002,2020_10,,35.680000000000035,23.725203778666867,
258002,2020_11,,36.30333333333336,27.030134900410985,
258002,2020_12,,33.95000000000003,26.826827252295743,
258002,2021_01,,31.26500000000003,26.31558609829159,
258002,2021_02,,27.703333333333358,25.74637290863768,
258002,2021_03,,27.74500000000002,25.37231645071381,
