neighborhood_code,exposure_month,landsat,modis,era5,landsat-7
3,2018_11,42.88277858762004,36.42149508511298,27.843690554300963,39.04545069868752
3,2018_12,41.684137689952244,36.620753805513836,25.89333537112003,40.25681831844685
3,2019_01,36.890556043415515,36.11440218873873,24.96957322397543,36.30432978114079
3,2019_02,41.19272773276517,36.402826560397074,26.63998983474005,37.34871954349028
3,2019_03,47.7611101102994,41.52283638107935,26.871751670427216,46.16060248566767
3,2019_04,47.815099733452925,44.35370418530784,29.569768842061364,50.96648282266567
3,2019_05,49.34793395300215,44.14100305077675,28.253683795723873,49.88097226363965
3,2019_06,44.87071418084429,42.5388546857375,28.42419435713026,42.58810119321422
3,2019_07,53.696583979138055,32.118945504310275,28.266792141493966,38.382918217804026
3,2019_08,37.98276990980671,33.5675487699901,26.790833060972147,38.93497501511136
3,2019_09,30.827227782294003,29.726247075013266,27.110347133212656,24.1053030256193
3,2019_10,38.46436316853062,30.8716257168489,27.623864807621146,9.8333454049327
3,2019_11,43.28682142269586,35.94575414650968,28.588085704379637,38.806974356649896
3,2019_12,41.4895998036089,36.15492275306419,26.12472370927054,36.67546668109181
3,2020_01,44.365265941659096,32.69990572600311,25.583175872474612,
3,2020_02,47.30323648283337,39.069790651256454,28.86410578585219,39.44138658626349
3,2020_03,52.16735315337289,42.70411843469225,29.284408249393607,45.12820921416499
3,2020_04,51.52674303490508,44.70312975120931,30.67392792171904,48.272508990148935
3,2020_05,53.51553882868967,42.02986869384951,29.252751327842816,47.72137916202705
3,2020_06,,33.733166571187574,29.83112640380864,35.599942447358174
3,2020_07,24.533098201856152,28.500501855017664,27.240332662931053,23.546062220000017
3,2020_08,29.580925892372477,29.353430418652415,26.610018974222157,32.47534292531482
3,2020_09,34.96870583513801,29.203824155239605,26.524044609069847,
3,2020_10,,32.72741006801748,28.036401695333552,32.15682443565329
3,2020_11,39.48743088846708,36.94723711490155,27.232402695549865,39.683599598236654
3,2020_12,34.431871452939326,37.224449837231106,26.165938580420743,39.57961512085465
3,2021_01,43.434101713919596,36.83423596460965,26.02280373522035,35.905582624456194
3,2021_02,35.574031560833696,36.94191739715561,26.98633989152455,32.173554331843036
3,2021_03,45.98545352228621,40.203346397264326,27.62329563838182,34.72483377698491
3,2021_04,47.71218916290522,45.20772090471526,28.76373799641931,43.326015689453456
3,2021_05,47.877710671169964,39.59660413559795,28.546155035367576,32.511775852394635
3,2021_06,54.22570076048235,36.68916542392643,29.56438231998021,42.18385901598981
3,2021_07,41.85196965317583,30.583647034396215,28.56583245390209,31.81388048625462
3,2021_08,32.32959791917374,30.871578553328447,26.717152347359615,32.37874763533403
3,2021_09,33.84693673471163,29.519681350707085,27.389958975050206,27.55971977179266
3,2021_10,36.75990567733258,31.22065603062608,28.195372599940185,13.353645164323334
3,2021_11,39.66647900295112,36.54384772942258,28.487415228949658,35.24185736546692
3,2021_12,38.777944412837336,35.80868259647892,27.054823647776004,17.247085443652693
3,2022_01,43.83871388746674,35.65041556032432,27.024021690122538,25.062192028406482
3,2022_02,43.218918858723285,36.32245310169923,26.87191489083426,32.024150142601336
3,2022_03,41.49644352057161,38.74893734314224,27.31271906616871,36.31123220201196
3,2022_04,49.52703817613747,41.49849467743265,28.4373803244697,39.29625085099014
3,2022_05,50.142272467431795,40.59007931564354,28.994181918072456,33.12328157247766
3,2022_06,48.8437415266019,31.035781903575266,28.282416386074487,22.78610164152057
3,2022_07,39.86824523141174,33.0611611592046,26.944016885244764,33.03810236099231
3,2022_08,37.51503936529574,,26.315701605684012,26.26644676381771
3,2022_09,,28.682501848955223,26.469000180562375,30.60793920881554
3,2022_10,34.6786166172401,33.159145146037275,27.361489765618444,27.141360600330835
