neighborhood_code,exposure_month,landsat,modis,era5,landsat-7
258001,2018_11,,37.34189904246384,24.091080304619314,36.19274601606576
258001,2018_12,32.72622439684878,39.06852175861752,27.997343422556238,43.83753992513569
258001,2019_01,40.56061981494529,32.02582544024282,26.132474672990238,33.058722935182566
258001,2019_02,40.625431357941345,28.791585085943023,26.219341037334484,33.91901069730156
258001,2019_03,31.731382679352834,29.111529514927852,26.413421117333545,31.837263310676065
258001,2019_04,32.335715656720865,25.978898002390167,23.7866588264565,31.477017497692884
258001,2019_05,30.54831209775195,25.86875429312492,21.72328020073861,31.488690972060763
258001,2019_06,24.196451898534068,24.411497698611022,20.06068866682822,26.112568251722386
258001,2019_07,30.936393165945717,25.275269887677585,20.706370382103483,28.147783412168717
258001,2019_08,29.468349376570373,28.727422755722955,22.465372360058325,30.741006907547984
258001,2019_09,39.03218522955308,31.602948388624977,21.96125205271817,37.240239984902615
258001,2019_10,35.0973552597177,34.35327478835586,24.23404391959486,32.2615977077399
258001,2019_11,,34.95420853742628,26.25254987047443,45.094682799591936
258001,2019_12,54.87012083257147,35.631190780229076,25.740973192998307,40.20434768128971
258001,2020_01,35.557394300580185,32.27423878684269,26.936736818891763,36.760703868321706
258001,2020_02,32.67639589328903,30.12395957909824,26.315635096018262,
258001,2020_03,31.1960052015399,28.720022233228235,25.148497496494105,27.08836908205209
258001,2020_04,30.9264128973501,26.951670725794358,23.49901437313498,28.821373990195294
258001,2020_05,29.92853556607158,24.429131443164557,20.98176401990447,26.488556026055285
258001,2020_06,23.351983311744092,22.84288237536643,18.956937430801858,21.8461350130277
258001,2020_07,27.052398248323907,23.392104863449994,18.806856974005253,22.701720274009638
258001,2020_08,22.420091490277017,26.872067039201003,20.54242735816074,26.794119856773097
258001,2020_09,38.99020291428055,31.44514696363461,21.979237593110255,31.738294502164894
258001,2020_10,41.58527788919382,34.60889549894507,23.37055278034387,36.46412014361457
258001,2020_11,,38.17810406665068,26.554234142929932,33.94826635985019
258001,2020_12,44.664835784037265,35.79870751445374,26.59830238675214,42.37421613796067
258001,2021_01,40.8881183870598,34.43618110516974,26.185942094612514,37.38962871844168
258001,2021_02,32.98240473020739,25.674883368221124,25.535698866431208,31.669575365158867
258001,2021_03,34.29714484030856,28.51892231846019,25.182424540089144,30.12474758932773
258001,2021_04,31.032494070600503,27.60659219474366,23.499537890697546,28.34812552804653
258001,2021_05,,24.89727140657146,21.232880989732873,24.961504719824653
258001,2021_06,24.520166596673846,22.556604500550534,19.05479900614605,20.817719612064128
258001,2021_07,24.299470428081236,23.687006974992897,18.927502558264905,19.034625749022247
258001,2021_08,,28.280842614986522,20.669463385213444,25.081749773595284
258001,2021_09,40.88707531140992,34.76796831469119,22.106544934297897,34.165289796936
258001,2021_10,42.4836972254642,35.96710810211439,22.772740172979958,31.022678961990234
258001,2021_11,14.219629780358993,31.081229104716904,24.85897119667812,34.557259194549616
258001,2021_12,35.58781013216308,35.72002171784517,26.413705655180035,31.787209064283697
258001,2022_01,38.394963109698715,28.002743575973987,26.146747325435253,28.796126852388003
258001,2022_02,,30.060919666625843,26.364327607967013,32.66285007612835
258001,2022_03,28.862296976430518,28.704782375130332,25.2406305160709,28.257105971530144
258001,2022_04,28.33870898893106,25.738924829198083,23.618651906968932,30.875009348062413
258001,2022_05,25.2978726606395,23.8653785318697,20.82857771959213,21.23810902228242
258001,2022_06,23.993008473641336,20.938377034848905,18.022174132785647,16.027210895695085
258001,2022_07,27.091282051441944,22.210159581251734,19.282448331067016,8.469175999999994
258001,2022_08,33.53676814064231,25.28474049624112,20.8010772205786,24.396989732750338
258001,2022_09,39.10279290317606,32.236339626495415,23.105897809484045,
258001,2022_10,,34.853910282405735,25.09964563859352,32.15108788603632
258001,2022_11,39.98197629432229,31.75595080155468,24.8859445339262,31.98414629288289
258001,2022_12,37.99771005643929,31.188185921615556,25.66616935754255,
258002,2018_11,,36.77612635923094,24.257863387103924,
258002,2018_12,,38.57602805556996,28.093636082090654,
258002,2019_01,35.65553741000002,31.242011754487095,26.248406816876134,
258002,2019_02,,30.166725399358207,26.517286125987084,
258002,2019_03,,28.640284553959436,26.741758890225583,
258002,2019_04,25.471926600000003,27.079842983979173,23.97897925555671,
258002,2019_05,24.94625086608718,26.21927076388721,21.973008382876635,24.71103737000003
258002,2019_06,19.012058690000025,24.128843912237343,20.312022674072583,22.17265332931037
258002,2019_07,28.864501340000004,25.112957646805317,20.92593737513609,
258002,2019_08,24.427911380000012,28.523688840249264,22.71579740114564,36.928816880000014
258002,2019_09,35.77659228500002,31.220711055994016,22.182491777497205,
258002,2019_10,,35.602561943716864,24.53939200572411,
258002,2019_11,,34.877023841470425,26.426976362764947,43.98069479000003
258002,2019_12,38.258502057500024,35.13494466086325,25.96472372263833,
258002,2020_01,31.20480664321873,32.12828487483694,27.10547611142897,
258002,2020_02,27.244573486250022,28.539642695619843,26.536492410783445,
258002,2020_03,,27.27101208538397,25.403410913239735,
258002,2020_04,,25.91088637316091,23.74192441521131,
258002,2020_05,,23.945611723592407,21.213167286852435,
258002,2020_06,,22.3069607373504,19.16014515702146,
258002,2020_07,,22.444204419399888,18.98885897909382,
258002,2020_08,,26.19027442121953,20.70960645583324,
258002,2020_09,,30.61053412103003,22.12770694792884,
258002,2020_10,,34.258264464316504,23.62031460289127,
258002,2020_11,,37.301688234348504,26.885683371857358,53.28112721000002
258002,2020_12,37.185481140000014,35.446730522275,26.75061737920929,28.206190688000014
258002,2021_01,,32.44710983848847,26.298424062088234,
